shipping_mode,order_region,market,category_name,department_name,customer_segment,payment_type,days_for_shipment_scheduled,order_item_quantity,order_item_discount_rate,order_item_product_price,sales,revenue_per_unit,is_weekend_order,has_discount,order_hour,order_month,market_risk_score,region_risk_score,mode_risk_score,late_delivery_risk
First Class,South KPK,KPK,GPS & Navigation,Automotive,Home Office,CASH,3,4,0.11,156728.84,557954.67,139488.67,0,1,12,11,0.5953805774278215,0.5967233774417139,0.5351926799225761,1
Same Day,North KPK,KPK,Personal Care,Health,Corporate,DEBIT,0,5,0.271,243491.28,887525.72,177505.14,0,1,6,9,0.5953805774278215,0.5940386230058774,0.4316920322291853,0
Standard Class,Rural Sindh,Sindh,Snacks,Food,Consumer,CASH,4,1,0.221,116740.72,90941.02,90941.02,0,1,5,1,0.5224103055466837,0.5220072294280247,0.7366829702089818,0
Standard Class,Urban Sindh,Sindh,Accessories,Clothing,Consumer,DEBIT,4,4,0.185,233913.58,762558.27,190639.57,0,1,13,9,0.5224103055466837,0.522814498933902,0.7366829702089818,1
Second Class,Northern Areas,Federal,Footwear,Clothing,Corporate,DEBIT,5,1,0.237,89465.07,68261.85,68261.85,1,1,0,10,0.7340503544365681,0.7303862035462716,0.6605610122997965,1
Same Day,Rural Sindh,Sindh,Beverages,Food,Consumer,PAYMENT,0,1,0.216,273514.7,214435.52,214435.52,1,1,16,5,0.5224103055466837,0.5220072294280247,0.4316920322291853,1
Same Day,Rural Sindh,Sindh,Team Sports,Sports,Corporate,CASH,0,4,0.315,218927.68,599861.84,149965.46,0,1,17,7,0.5224103055466837,0.5220072294280247,0.4316920322291853,0
Same Day,North Balochistan,Balochistan,Tools & Equipment,Automotive,Corporate,CASH,0,4,0.262,215872.89,637256.77,159314.19,0,1,16,10,0.6475729301995985,0.655679392933365,0.4316920322291853,1
Second Class,Rural Sindh,Sindh,Medical Supplies,Health,Home Office,TRANSFER,5,4,0.183,21510.72,70297.03,17574.26,0,1,0,2,0.5224103055466837,0.5220072294280247,0.6605610122997965,1
Standard Class,Rural Sindh,Sindh,Laptops,Electronics,Home Office,DEBIT,5,1,0.117,259585.85,229214.31,229214.31,0,1,16,12,0.5224103055466837,0.5220072294280247,0.7366829702089818,0
Same Day,Capital Territory,Federal,Snacks,Food,Corporate,PAYMENT,0,3,0.136,205070.73,531543.33,177181.11,0,1,3,12,0.7340503544365681,0.7377613776137761,0.4316920322291853,1
Second Class,South Balochistan,Balochistan,Grocery,Food,Consumer,TRANSFER,3,1,0.123,284923.66,249878.05,249878.05,1,1,5,1,0.6475729301995985,0.6395294117647059,0.6605610122997965,1
First Class,North KPK,KPK,Car Accessories,Automotive,Home Office,CASH,2,1,0.267,191474.63,140350.9,140350.9,1,1,22,7,0.5953805774278215,0.5940386230058774,0.5351926799225761,1
Standard Class,Central Punjab,Punjab,Bedding,Home & Garden,Home Office,CASH,7,3,0.232,19027.15,43838.55,14612.85,0,1,10,5,0.4820809248554913,0.479179810725552,0.7366829702089818,1
Same Day,South KPK,KPK,Team Sports,Sports,Corporate,DEBIT,0,4,0.165,180510.84,602906.21,150726.55,0,1,14,4,0.5953805774278215,0.5967233774417139,0.4316920322291853,0
First Class,Northern Areas,Federal,Footwear,Clothing,Corporate,CASH,2,5,0.077,176393.93,814057.99,162811.6,1,1,17,4,0.7340503544365681,0.7303862035462716,0.5351926799225761,1
Second Class,Central Punjab,Punjab,Bedding,Home & Garden,Corporate,PAYMENT,4,5,0.144,78709.01,336874.56,67374.91,0,1,16,8,0.4820809248554913,0.479179810725552,0.6605610122997965,1
First Class,South KPK,KPK,Tools & Equipment,Automotive,Consumer,TRANSFER,3,1,0.247,96526.15,72684.19,72684.19,0,1,9,2,0.5953805774278215,0.5967233774417139,0.5351926799225761,0
Second Class,Rural Sindh,Sindh,Bedding,Home & Garden,Consumer,DEBIT,5,4,0.144,81330.12,278474.33,69618.58,1,1,1,3,0.5224103055466837,0.5220072294280247,0.6605610122997965,0
Standard Class,Northern Areas,Federal,Cameras,Electronics,Home Office,PAYMENT,6,4,0.137,234940.24,811013.71,202753.43,0,1,0,6,0.7340503544365681,0.7303862035462716,0.7366829702089818,1
First Class,Rural Sindh,Sindh,Movies & TV,Books & Media,Corporate,DEBIT,2,4,0.255,294748.02,878349.1,219587.28,0,1,8,11,0.5224103055466837,0.5220072294280247,0.5351926799225761,1
Standard Class,North KPK,KPK,Furniture,Home & Garden,Home Office,DEBIT,7,4,0.021,201971.3,790919.61,197729.9,0,1,18,3,0.5953805774278215,0.5940386230058774,0.7366829702089818,1
Same Day,Urban Sindh,Sindh,Books,Books & Media,Home Office,PAYMENT,0,1,0.143,109315.87,93683.7,93683.7,1,1,20,1,0.5224103055466837,0.522814498933902,0.4316920322291853,0
First Class,North Balochistan,Balochistan,Tools & Equipment,Automotive,Consumer,CASH,3,3,0.021,55994.28,164455.2,54818.4,0,1,13,10,0.6475729301995985,0.655679392933365,0.5351926799225761,1
Standard Class,South KPK,KPK,Fitness Equipment,Sports,Consumer,CASH,4,3,0.067,213809.45,598452.65,199484.22,0,1,11,11,0.5953805774278215,0.5967233774417139,0.7366829702089818,1
First Class,Rural Sindh,Sindh,Car Accessories,Automotive,Home Office,TRANSFER,3,3,0.309,114265.28,236871.93,78957.31,0,1,1,1,0.5224103055466837,0.5220072294280247,0.5351926799225761,0
Standard Class,Central Punjab,Punjab,Team Sports,Sports,Consumer,PAYMENT,4,2,0.211,84116.71,132736.17,66368.09,0,1,0,4,0.4820809248554913,0.479179810725552,0.7366829702089818,0
Second Class,Urban Sindh,Sindh,Grocery,Food,Home Office,DEBIT,5,4,0.332,163051.11,435672.57,108918.14,0,1,11,9,0.5224103055466837,0.522814498933902,0.6605610122997965,1
Standard Class,North Balochistan,Balochistan,Outdoor Sports,Sports,Consumer,TRANSFER,7,5,0.155,135414.67,572126.98,114425.4,0,1,2,9,0.6475729301995985,0.655679392933365,0.7366829702089818,0
Second Class,North Punjab,Punjab,Music,Books & Media,Corporate,DEBIT,3,3,0.177,69478.99,171543.63,57181.21,0,1,4,9,0.4820809248554913,0.4793103448275862,0.6605610122997965,1
First Class,Urban Sindh,Sindh,Garden Tools,Home & Garden,Home Office,PAYMENT,2,3,0.268,38625.99,84822.67,28274.22,1,1,18,8,0.5224103055466837,0.522814498933902,0.5351926799225761,0
Second Class,Rural Sindh,Sindh,Women's Fashion,Clothing,Home Office,PAYMENT,3,3,0.327,201394.44,406615.37,135538.46,1,1,19,11,0.5224103055466837,0.5220072294280247,0.6605610122997965,1
Same Day,Urban Sindh,Sindh,Fitness Equipment,Sports,Consumer,DEBIT,0,1,0.278,73975.12,53410.04,53410.04,0,1,4,9,0.5224103055466837,0.522814498933902,0.4316920322291853,0
First Class,Urban Sindh,Sindh,Kitchen,Home & Garden,Corporate,DEBIT,3,4,0.222,77367.86,240768.78,60192.2,0,1,16,2,0.5224103055466837,0.522814498933902,0.5351926799225761,0
Standard Class,Northern Areas,Federal,Footwear,Clothing,Consumer,TRANSFER,6,2,0.065,237294.87,443741.41,221870.7,0,1,12,7,0.7340503544365681,0.7303862035462716,0.7366829702089818,1
Same Day,North Balochistan,Balochistan,Snacks,Food,Home Office,CASH,1,4,0.014,61555.23,242773.83,60693.46,0,1,19,10,0.6475729301995985,0.655679392933365,0.4316920322291853,1
First Class,Northern Areas,Federal,Car Accessories,Automotive,Home Office,PAYMENT,2,2,0.136,176917.27,305713.04,152856.52,0,1,18,6,0.7340503544365681,0.7303862035462716,0.5351926799225761,1
Standard Class,Rural Sindh,Sindh,Grocery,Food,Consumer,CASH,5,5,0.058,284923.66,1230612.4494,246122.49,1,1,22,7,0.5224103055466837,0.5220072294280247,0.7366829702089818,0
Standard Class,Rural Sindh,Sindh,Audio,Electronics,Corporate,PAYMENT,6,5,0.291,183916.23,651983.04,130396.61,0,1,15,12,0.5224103055466837,0.5220072294280247,0.7366829702089818,1
Second Class,North Balochistan,Balochistan,Medical Supplies,Health,Consumer,DEBIT,3,2,0.224,21510.72,33384.64,16692.32,0,1,7,3,0.6475729301995985,0.655679392933365,0.6605610122997965,1
Same Day,North Punjab,Punjab,Beverages,Food,Corporate,CASH,0,1,0.281,88443.41,63590.81,63590.81,0,1,1,7,0.4820809248554913,0.4793103448275862,0.4316920322291853,0
Standard Class,Capital Territory,Federal,Garden Tools,Home & Garden,Home Office,CASH,6,5,0.164,132947.52,555720.63,111144.13,0,1,19,2,0.7340503544365681,0.7377613776137761,0.7366829702089818,0
Same Day,South Punjab,Punjab,Bedding,Home & Garden,Home Office,TRANSFER,0,1,0.027,90198.36,87763.0,87763.0,0,1,19,10,0.4820809248554913,0.487797147385103,0.4316920322291853,0
Same Day,North Punjab,Punjab,Beverages,Food,Consumer,PAYMENT,0,1,0.109,124571.99,110993.64,110993.64,0,1,14,10,0.4820809248554913,0.4793103448275862,0.4316920322291853,1
Same Day,Urban Sindh,Sindh,Footwear,Clothing,Home Office,TRANSFER,1,2,0.194,64727.85,104341.29,52170.64,0,1,12,8,0.5224103055466837,0.522814498933902,0.4316920322291853,0
Same Day,South Punjab,Punjab,Books,Books & Media,Corporate,TRANSFER,0,3,0.002,286197.16,856874.3,285624.77,0,1,21,4,0.4820809248554913,0.487797147385103,0.4316920322291853,0
Standard Class,Rural Sindh,Sindh,GPS & Navigation,Automotive,Corporate,PAYMENT,4,2,0.349,50792.51,66131.85,33065.93,1,1,20,7,0.5224103055466837,0.5220072294280247,0.7366829702089818,0
Same Day,Northern Areas,Federal,Fitness Equipment,Sports,Corporate,PAYMENT,1,4,0.279,213809.45,616626.45,154156.61,1,1,12,4,0.7340503544365681,0.7303862035462716,0.4316920322291853,1
First Class,Central Punjab,Punjab,Car Accessories,Automotive,Home Office,CASH,2,4,0.132,160271.25,556461.78,139115.44,1,1,12,1,0.4820809248554913,0.479179810725552,0.5351926799225761,1
Same Day,Rural Sindh,Sindh,Beverages,Food,Home Office,TRANSFER,0,1,0.118,238279.13,210162.19,210162.19,0,1,15,9,0.5224103055466837,0.5220072294280247,0.4316920322291853,0
Second Class,North Balochistan,Balochistan,Audio,Electronics,Consumer,PAYMENT,3,4,0.223,289051.22,898371.19,224592.8,0,1,22,5,0.6475729301995985,0.655679392933365,0.6605610122997965,1
Second Class,South KPK,KPK,Cameras,Electronics,Consumer,DEBIT,5,1,0.168,262788.76,218640.25,218640.25,0,1,12,8,0.5953805774278215,0.5967233774417139,0.6605610122997965,0
Standard Class,South Punjab,Punjab,GPS & Navigation,Automotive,Corporate,CASH,5,1,0.042,133145.25,127553.15,127553.15,0,1,10,4,0.4820809248554913,0.487797147385103,0.7366829702089818,0
Same Day,South Balochistan,Balochistan,Garden Tools,Home & Garden,Corporate,CASH,0,5,0.136,119181.2,514862.78,102972.56,1,1,13,8,0.6475729301995985,0.6395294117647059,0.4316920322291853,0
Second Class,Central Punjab,Punjab,Snacks,Food,Home Office,TRANSFER,3,4,0.189,199226.11,646289.5,161572.38,0,1,0,3,0.4820809248554913,0.479179810725552,0.6605610122997965,0
Second Class,Rural Sindh,Sindh,Snacks,Food,Consumer,TRANSFER,4,4,0.349,172837.3,450068.33,112517.08,1,1,23,12,0.5224103055466837,0.5220072294280247,0.6605610122997965,1
Standard Class,North Balochistan,Balochistan,Team Sports,Sports,Corporate,TRANSFER,4,5,0.346,84116.71,275061.64,55012.33,0,1,8,10,0.6475729301995985,0.655679392933365,0.7366829702089818,1
Same Day,Rural Sindh,Sindh,Team Sports,Sports,Corporate,TRANSFER,0,5,0.338,63787.56,211136.82,42227.36,0,1,12,11,0.5224103055466837,0.5220072294280247,0.4316920322291853,1
Same Day,Northern Areas,Federal,Furniture,Home & Garden,Consumer,TRANSFER,1,4,0.277,201971.3,584101.0,146025.25,0,1,20,9,0.7340503544365681,0.7303862035462716,0.4316920322291853,0
Second Class,North Punjab,Punjab,Accessories,Clothing,Home Office,DEBIT,5,5,0.03,131276.17,636689.42,127337.88,0,1,20,4,0.4820809248554913,0.4793103448275862,0.6605610122997965,0
Standard Class,Northern Areas,Federal,Bedding,Home & Garden,Home Office,PAYMENT,4,4,0.208,202684.99,642106.05,160526.51,0,1,0,4,0.7340503544365681,0.7303862035462716,0.7366829702089818,1
Standard Class,Northern Areas,Federal,Kitchen,Home & Garden,Home Office,DEBIT,4,5,0.025,258122.89,1230612.4494,246122.49,0,1,21,5,0.7340503544365681,0.7303862035462716,0.7366829702089818,1
Same Day,South Punjab,Punjab,Audio,Electronics,Consumer,DEBIT,1,3,0.057,229687.58,649786.16,216595.39,0,1,21,8,0.4820809248554913,0.487797147385103,0.4316920322291853,0
First Class,Rural Sindh,Sindh,Kitchen,Home & Garden,Consumer,DEBIT,2,5,0.341,258122.89,850514.92,170102.98,0,1,19,6,0.5224103055466837,0.5220072294280247,0.5351926799225761,0
Second Class,North Balochistan,Balochistan,Furniture,Home & Garden,Consumer,PAYMENT,3,5,0.195,139597.15,561878.53,112375.71,0,1,13,12,0.6475729301995985,0.655679392933365,0.6605610122997965,1
Same Day,North Punjab,Punjab,Fitness Equipment,Sports,Consumer,DEBIT,1,3,0.302,210046.81,439838.02,146612.67,0,1,8,6,0.4820809248554913,0.4793103448275862,0.4316920322291853,0
Standard Class,Urban Sindh,Sindh,Medical Supplies,Health,Home Office,CASH,4,5,0.292,85978.31,304363.22,60872.64,0,1,7,4,0.5224103055466837,0.522814498933902,0.7366829702089818,0
Standard Class,Rural Sindh,Sindh,Furniture,Home & Garden,Corporate,PAYMENT,6,5,0.231,90348.94,347391.67,69478.33,1,1,13,12,0.5224103055466837,0.5220072294280247,0.7366829702089818,0
Second Class,South Balochistan,Balochistan,Men's Fashion,Clothing,Consumer,PAYMENT,3,3,0.167,26953.43,67356.62,22452.21,1,1,3,8,0.6475729301995985,0.6395294117647059,0.6605610122997965,1
Same Day,Urban Sindh,Sindh,Kitchen,Home & Garden,Corporate,PAYMENT,1,3,0.082,31551.74,86893.49,28964.5,0,1,21,11,0.5224103055466837,0.522814498933902,0.4316920322291853,0
Second Class,Capital Territory,Federal,Tools & Equipment,Automotive,Corporate,DEBIT,5,5,0.333,238684.96,796014.34,159202.87,1,1,5,5,0.7340503544365681,0.7377613776137761,0.6605610122997965,1
First Class,Rural Sindh,Sindh,Team Sports,Sports,Corporate,DEBIT,2,1,0.34,84116.71,55517.03,55517.03,0,1,6,10,0.5224103055466837,0.5220072294280247,0.5351926799225761,1
First Class,Urban Sindh,Sindh,Outdoor Sports,Sports,Consumer,CASH,2,2,0.292,218772.24,309781.49,154890.74,0,1,23,7,0.5224103055466837,0.522814498933902,0.5351926799225761,0
First Class,Northern Areas,Federal,GPS & Navigation,Automotive,Consumer,CASH,3,4,0.031,65960.66,255663.52,63915.88,0,1,21,11,0.7340503544365681,0.7303862035462716,0.5351926799225761,1
Standard Class,North Balochistan,Balochistan,Audio,Electronics,Home Office,CASH,6,2,0.247,229687.58,345909.5,172954.75,0,1,17,4,0.6475729301995985,0.655679392933365,0.7366829702089818,1
Same Day,Northern Areas,Federal,Cameras,Electronics,Home Office,TRANSFER,1,3,0.04,202018.54,581813.4,193937.8,1,1,12,9,0.7340503544365681,0.7303862035462716,0.4316920322291853,0
Standard Class,Urban Sindh,Sindh,Snacks,Food,Home Office,DEBIT,5,2,0.206,116740.72,185384.26,92692.13,0,1,21,6,0.5224103055466837,0.522814498933902,0.7366829702089818,0
Standard Class,Rural Sindh,Sindh,Movies & TV,Books & Media,Corporate,TRANSFER,7,5,0.21,296687.86,1171917.05,234383.41,0,1,18,3,0.5224103055466837,0.5220072294280247,0.7366829702089818,0
Second Class,Urban Sindh,Sindh,Music,Books & Media,Home Office,DEBIT,3,2,0.17,249136.08,413565.89,206782.94,0,1,23,11,0.5224103055466837,0.522814498933902,0.6605610122997965,0
Second Class,North KPK,KPK,Accessories,Clothing,Consumer,CASH,4,4,0.32,131276.17,357071.18,89267.8,1,1,12,1,0.5953805774278215,0.5940386230058774,0.6605610122997965,1
Standard Class,South Balochistan,Balochistan,Grocery,Food,Home Office,CASH,5,1,0.237,102625.69,78303.4,78303.4,0,1,17,12,0.6475729301995985,0.6395294117647059,0.7366829702089818,1
Standard Class,Central Punjab,Punjab,Accessories,Clothing,Corporate,PAYMENT,4,2,0.246,147364.11,222225.08,111112.54,0,1,9,7,0.4820809248554913,0.479179810725552,0.7366829702089818,1
First Class,Rural Sindh,Sindh,Medical Supplies,Health,Corporate,CASH,3,4,0.301,238895.62,667952.15,166988.04,1,1,3,10,0.5224103055466837,0.5220072294280247,0.5351926799225761,0
Second Class,Urban Sindh,Sindh,Personal Care,Health,Consumer,CASH,3,5,0.312,243491.28,837610.0,167522.0,0,1,1,10,0.5224103055466837,0.522814498933902,0.6605610122997965,1
Same Day,North Punjab,Punjab,Grocery,Food,Corporate,CASH,1,5,0.266,92142.74,338163.86,67632.77,0,1,5,6,0.4820809248554913,0.4793103448275862,0.4316920322291853,0
Same Day,South Balochistan,Balochistan,GPS & Navigation,Automotive,Consumer,TRANSFER,0,4,0.125,65960.66,230862.31,57715.58,0,1,7,11,0.6475729301995985,0.6395294117647059,0.4316920322291853,0
Second Class,Central Punjab,Punjab,Fitness Equipment,Sports,Home Office,PAYMENT,5,1,0.108,28605.4,25516.02,25516.02,1,1,16,9,0.4820809248554913,0.479179810725552,0.6605610122997965,1
Standard Class,Central Punjab,Punjab,Furniture,Home & Garden,Consumer,CASH,4,4,0.211,195998.78,618572.15,154643.04,0,1,0,3,0.4820809248554913,0.479179810725552,0.7366829702089818,1
Second Class,Capital Territory,Federal,Car Accessories,Automotive,Home Office,DEBIT,3,2,0.01,160271.25,317337.08,158668.54,0,1,21,3,0.7340503544365681,0.7377613776137761,0.6605610122997965,1
Standard Class,South KPK,KPK,Music,Books & Media,Consumer,CASH,4,2,0.286,290923.21,415438.34,207719.17,0,1,19,3,0.5953805774278215,0.5967233774417139,0.7366829702089818,0
Standard Class,Central Punjab,Punjab,Tools & Equipment,Automotive,Consumer,TRANSFER,6,2,0.241,270126.08,410051.39,205025.7,1,1,17,3,0.4820809248554913,0.479179810725552,0.7366829702089818,0
Standard Class,Rural Sindh,Sindh,Furniture,Home & Garden,Consumer,DEBIT,4,1,0.109,110454.4,98414.87,98414.87,1,1,4,5,0.5224103055466837,0.5220072294280247,0.7366829702089818,0
Second Class,Northern Areas,Federal,GPS & Navigation,Automotive,Corporate,DEBIT,3,2,0.23,13757.7,21186.86,10593.43,0,1,23,6,0.7340503544365681,0.7303862035462716,0.6605610122997965,1
First Class,North KPK,KPK,Kitchen,Home & Garden,Corporate,CASH,2,4,0.145,227066.32,776566.81,194141.7,0,1,10,2,0.5953805774278215,0.5940386230058774,0.5351926799225761,1
Same Day,Urban Sindh,Sindh,Movies & TV,Books & Media,Home Office,PAYMENT,1,1,0.094,268693.86,243436.64,243436.64,0,1,13,9,0.5224103055466837,0.522814498933902,0.4316920322291853,1
First Class,South Balochistan,Balochistan,Movies & TV,Books & Media,Home Office,TRANSFER,3,1,0.267,27062.04,19836.48,19836.48,0,1,5,8,0.6475729301995985,0.6395294117647059,0.5351926799225761,0
Standard Class,Urban Sindh,Sindh,Fitness Equipment,Sports,Consumer,PAYMENT,7,4,0.26,79875.18,236430.53,59107.63,0,1,17,12,0.5224103055466837,0.522814498933902,0.7366829702089818,1
Same Day,North Balochistan,Balochistan,Books,Books & Media,Consumer,DEBIT,1,4,0.166,109315.87,364677.74,91169.44,1,1,5,3,0.6475729301995985,0.655679392933365,0.4316920322291853,0
Second Class,South Balochistan,Balochistan,Garden Tools,Home & Garden,Home Office,CASH,5,5,0.236,295889.35,1130297.32,226059.46,0,1,20,11,0.6475729301995985,0.6395294117647059,0.6605610122997965,1
Standard Class,Rural Sindh,Sindh,Fitness Equipment,Sports,Consumer,PAYMENT,6,5,0.327,137741.0,463498.47,92699.69,0,1,23,12,0.5224103055466837,0.5220072294280247,0.7366829702089818,1
First Class,Northern Areas,Federal,Movies & TV,Books & Media,Consumer,TRANSFER,3,1,0.343,230507.15,151443.2,151443.2,0,1,1,4,0.7340503544365681,0.7303862035462716,0.5351926799225761,1
Same Day,South Balochistan,Balochistan,Accessories,Clothing,Consumer,TRANSFER,1,1,0.013,92876.56,91669.16,91669.16,0,1,18,10,0.6475729301995985,0.6395294117647059,0.4316920322291853,1
First Class,South Punjab,Punjab,Kitchen,Home & Garden,Corporate,DEBIT,2,1,0.053,19543.3,18507.51,18507.51,0,1,13,12,0.4820809248554913,0.487797147385103,0.5351926799225761,1
Second Class,Northern Areas,Federal,Bedding,Home & Garden,Corporate,CASH,3,3,0.093,78709.01,214167.22,71389.07,1,1,9,12,0.7340503544365681,0.7303862035462716,0.6605610122997965,0
Standard Class,North Punjab,Punjab,Snacks,Food,Home Office,DEBIT,6,5,0.071,116740.72,542260.64,108452.13,1,1,17,12,0.4820809248554913,0.4793103448275862,0.7366829702089818,1
Second Class,North Balochistan,Balochistan,Kitchen,Home & Garden,Home Office,CASH,5,1,0.274,14491.74,10521.0,10521.0,0,1,13,12,0.6475729301995985,0.655679392933365,0.6605610122997965,1
Second Class,Urban Sindh,Sindh,Footwear,Clothing,Corporate,DEBIT,4,4,0.042,153281.36,587374.17,146843.54,0,1,18,4,0.5224103055466837,0.522814498933902,0.6605610122997965,1
Second Class,Northern Areas,Federal,Books,Books & Media,Corporate,PAYMENT,5,2,0.329,249647.76,335027.29,167513.64,0,1,10,10,0.7340503544365681,0.7303862035462716,0.6605610122997965,1
Standard Class,North Balochistan,Balochistan,Bedding,Home & Garden,Consumer,CASH,4,1,0.298,202684.99,142284.86,142284.86,0,1,19,2,0.6475729301995985,0.655679392933365,0.7366829702089818,1
Standard Class,Urban Sindh,Sindh,Men's Fashion,Clothing,Home Office,DEBIT,5,4,0.223,232532.73,722711.72,180677.93,1,1,9,12,0.5224103055466837,0.522814498933902,0.7366829702089818,1
Standard Class,North Balochistan,Balochistan,Bedding,Home & Garden,Home Office,PAYMENT,6,3,0.342,247831.73,489219.84,163073.28,0,1,18,7,0.6475729301995985,0.655679392933365,0.7366829702089818,1
Same Day,Capital Territory,Federal,Women's Fashion,Clothing,Consumer,PAYMENT,0,3,0.086,279985.77,767720.98,255906.99,0,1,13,7,0.7340503544365681,0.7377613776137761,0.4316920322291853,1
Same Day,Rural Sindh,Sindh,Audio,Electronics,Corporate,PAYMENT,1,2,0.258,245166.19,363826.63,181913.32,0,1,19,8,0.5224103055466837,0.5220072294280247,0.4316920322291853,0
Same Day,North KPK,KPK,Beverages,Food,Consumer,DEBIT,0,1,0.114,88443.41,78360.86,78360.86,1,1,2,6,0.5953805774278215,0.5940386230058774,0.4316920322291853,0
Standard Class,South KPK,KPK,Tools & Equipment,Automotive,Corporate,DEBIT,5,2,0.053,192167.21,363964.7,181982.35,1,1,12,7,0.5953805774278215,0.5967233774417139,0.7366829702089818,1
Standard Class,South Balochistan,Balochistan,Cameras,Electronics,Consumer,TRANSFER,6,2,0.238,34102.39,51972.04,25986.02,0,1,3,4,0.6475729301995985,0.6395294117647059,0.7366829702089818,1
First Class,Northern Areas,Federal,Books,Books & Media,Home Office,CASH,2,3,0.067,116531.8,326172.51,108724.17,0,1,6,5,0.7340503544365681,0.7303862035462716,0.5351926799225761,1
First Class,South KPK,KPK,Books,Books & Media,Home Office,PAYMENT,2,2,0.022,263346.73,515106.2,257553.1,0,1,13,12,0.5953805774278215,0.5967233774417139,0.5351926799225761,0
Standard Class,Central Punjab,Punjab,Cameras,Electronics,Consumer,CASH,5,4,0.023,114912.84,449079.38,112269.84,0,1,17,1,0.4820809248554913,0.479179810725552,0.7366829702089818,0
Same Day,Capital Territory,Federal,Kitchen,Home & Garden,Corporate,DEBIT,0,4,0.319,141134.86,384451.36,96112.84,0,1,2,11,0.7340503544365681,0.7377613776137761,0.4316920322291853,1
First Class,Northern Areas,Federal,Women's Fashion,Clothing,Consumer,CASH,2,3,0.199,10872.73,26127.17,8709.06,0,1,16,8,0.7340503544365681,0.7303862035462716,0.5351926799225761,1
Second Class,Northern Areas,Federal,Laptops,Electronics,Consumer,TRANSFER,5,2,0.324,295920.36,400084.33,200042.16,0,1,17,4,0.7340503544365681,0.7303862035462716,0.6605610122997965,1
Standard Class,South KPK,KPK,Accessories,Clothing,Corporate,CASH,4,5,0.187,238605.62,969931.85,193986.37,0,1,18,9,0.5953805774278215,0.5967233774417139,0.7366829702089818,0
Standard Class,Rural Sindh,Sindh,Books,Books & Media,Home Office,CASH,7,1,0.118,249647.76,220189.32,220189.32,0,1,8,11,0.5224103055466837,0.5220072294280247,0.7366829702089818,0
Second Class,Urban Sindh,Sindh,Car Accessories,Automotive,Home Office,DEBIT,5,5,0.115,212643.82,940948.9,188189.78,1,1,20,6,0.5224103055466837,0.522814498933902,0.6605610122997965,1
Second Class,North KPK,KPK,Accessories,Clothing,Corporate,TRANSFER,4,5,0.111,77053.93,342504.72,68500.94,0,1,13,7,0.5953805774278215,0.5940386230058774,0.6605610122997965,1
Standard Class,Urban Sindh,Sindh,Accessories,Clothing,Consumer,DEBIT,7,1,0.348,77053.93,50239.16,50239.16,0,1,18,10,0.5224103055466837,0.522814498933902,0.7366829702089818,1
First Class,Northern Areas,Federal,Footwear,Clothing,Consumer,CASH,3,4,0.045,153281.36,585534.8,146383.7,1,1,1,11,0.7340503544365681,0.7303862035462716,0.5351926799225761,0
Second Class,Central Punjab,Punjab,Music,Books & Media,Home Office,CASH,4,2,0.281,290923.21,418347.58,209173.79,0,1,22,5,0.4820809248554913,0.479179810725552,0.6605610122997965,0
Same Day,North Balochistan,Balochistan,Accessories,Clothing,Consumer,CASH,0,4,0.195,77053.93,248113.65,62028.41,0,1,20,11,0.6475729301995985,0.655679392933365,0.4316920322291853,0
First Class,Northern Areas,Federal,Vitamins,Health,Home Office,TRANSFER,2,5,0.097,226322.55,1021846.31,204369.26,0,1,16,10,0.7340503544365681,0.7303862035462716,0.5351926799225761,1
First Class,Rural Sindh,Sindh,Garden Tools,Home & Garden,Consumer,TRANSFER,3,4,0.013,223337.18,881735.19,220433.8,0,1,6,12,0.5224103055466837,0.5220072294280247,0.5351926799225761,0
Same Day,South Balochistan,Balochistan,Books,Books & Media,Home Office,DEBIT,1,5,0.194,66147.96,266576.28,53315.26,1,1,16,9,0.6475729301995985,0.6395294117647059,0.4316920322291853,1
Same Day,Capital Territory,Federal,Grocery,Food,Corporate,CASH,1,5,0.347,163051.11,532361.87,106472.37,1,1,0,8,0.7340503544365681,0.7377613776137761,0.4316920322291853,1
Standard Class,South Punjab,Punjab,Cameras,Electronics,Corporate,DEBIT,5,3,0.112,42546.33,113343.42,37781.14,0,1,0,1,0.4820809248554913,0.487797147385103,0.7366829702089818,0
Standard Class,Northern Areas,Federal,Books,Books & Media,Consumer,CASH,7,1,0.082,109315.87,100351.97,100351.97,0,1,19,2,0.7340503544365681,0.7303862035462716,0.7366829702089818,1
First Class,South Balochistan,Balochistan,Audio,Electronics,Home Office,DEBIT,2,3,0.166,171906.31,430109.59,143369.86,0,1,11,4,0.6475729301995985,0.6395294117647059,0.5351926799225761,1
Same Day,North Balochistan,Balochistan,Women's Fashion,Clothing,Home Office,CASH,0,3,0.041,41369.57,119020.25,39673.42,0,1,10,11,0.6475729301995985,0.655679392933365,0.4316920322291853,1
Standard Class,South Punjab,Punjab,Audio,Electronics,Corporate,PAYMENT,7,1,0.154,82135.2,69486.38,69486.38,0,1,21,5,0.4820809248554913,0.487797147385103,0.7366829702089818,0
Same Day,South Punjab,Punjab,Accessories,Clothing,Home Office,CASH,0,2,0.305,77053.93,107104.96,53552.48,0,1,13,1,0.4820809248554913,0.487797147385103,0.4316920322291853,1
